timestamp	5BTK-M	I3Q-II	M5-CGW	MJXW-P	Y-OMTZ	ZA9-PY
2016-01-18 02:34:22					18.0	
2016-01-18 03:31:22					478.0	
2016-01-18 04:28:22					1042.0	
2016-01-18 05:25:22					1183.0	
2016-01-18 06:22:22					1360.0	
2016-01-18 07:19:22					1335.0	
2016-01-18 08:16:22					1085.0	
2016-01-18 09:13:22					444.0	
2016-01-18 10:10:22					139.0	
2016-01-18 11:07:22					36.0	
2016-01-18 12:04:22					20.0	
2016-01-18 13:01:23					20.0	
2016-01-18 13:58:23					39.0	
2016-01-18 14:55:23					147.0	
2016-01-18 15:52:25					231.0	
2016-01-18 16:49:26					152.0	
2016-01-18 17:46:28					169.0	
2016-01-18 18:43:29					188.0	
2016-01-18 19:40:32					238.0	
2016-01-18 20:37:32					174.0	
2016-01-18 21:34:33				13.0		
2016-01-18 22:31:34			1.0			
2016-01-18 23:28:34						15.0
2016-01-19 00:25:36						46.0
2016-01-19 01:22:36						53.0
2016-01-19 02:19:36						174.0
2016-01-19 03:16:37	41.0					
2016-01-19 04:13:38	307.0					
2016-01-19 05:10:39					29.0	
2016-01-19 06:07:41					184.0	
2016-01-19 07:04:41					155.0	
2016-01-19 08:01:42						664.0
2016-01-19 08:58:43						652.0
2016-01-19 09:55:44						295.0
2016-01-19 10:52:45						20.0
2016-01-19 11:49:49					30.0	
2016-01-19 12:46:49					33.0	
2016-01-19 13:43:49					115.0	
2016-01-19 14:40:51					845.0	
2016-01-19 15:37:51					1184.0	
2016-01-19 16:34:52					678.0	
2016-01-19 17:31:52					235.0	
2016-01-19 19:25:56	954.0					
2016-01-19 20:22:58	128.0					
2016-01-19 21:19:59	59.0					
2016-01-19 22:16:59					43.0	
2016-01-19 23:14:00					137.0	
2016-01-20 00:11:00					228.0	
2016-01-20 01:08:00					221.0	
2016-01-20 02:05:00					205.0	
2016-01-20 03:02:00					146.0	
2016-01-20 03:59:00					209.0	
2016-01-20 04:56:03					826.0	
2016-01-20 05:53:05					1280.0	
2016-01-20 06:50:06					889.0	
2016-01-20 07:47:06					740.0	
2016-01-20 08:44:06					481.0	
2016-01-20 09:41:07					21.0	
2016-01-20 10:38:07	368.0					
2016-01-20 11:35:07	372.0					
2016-01-20 12:32:07					26.0	
2016-01-20 13:29:08					32.0	
2016-01-20 14:26:08					15.0	
2016-01-20 15:23:09	604.0					
2016-01-20 16:20:11	597.0					
2016-01-20 17:17:11	592.0					
2016-01-20 18:14:12	532.0					
2016-01-20 19:11:12	345.0					
2016-01-20 20:08:12	143.0					
2016-01-20 21:05:12	13.0					
2016-01-20 22:02:12					1.0	
2016-01-20 22:59:12					182.0	
2016-01-20 23:56:12					331.0	
2016-01-21 00:53:12					169.0	
2016-01-21 01:50:12				42.0		
2016-01-21 02:47:12			72.0			
2016-01-21 03:44:12						19.0
2016-01-21 04:41:12					24.0	
2016-01-21 05:38:13					263.0	
2016-01-21 06:35:13					549.0	
2016-01-21 07:32:13					339.0	
2016-01-21 08:29:13					307.0	
2016-01-21 09:26:13					413.0	
2016-01-21 10:23:13					111.0	
2016-01-21 11:20:13					11.0	
2016-01-21 12:17:13					25.0	
2016-01-21 13:14:13					25.0	
2016-01-21 14:11:13	755.0					
2016-01-21 15:08:13	580.0					
2016-01-21 16:05:19	253.0					
2016-01-21 17:02:20	192.0					
2016-01-21 17:59:21	77.0					
2016-01-21 18:56:21		96.0				
2016-01-21 19:53:22			5.0			
2016-01-21 20:50:23			5.0			
2016-01-21 21:47:23						7.0
2016-01-21 22:44:23					132.0	
2016-01-21 23:41:23					427.0	
2016-01-22 00:38:23					576.0	
2016-01-22 01:35:23					387.0	
2016-01-22 02:32:23					135.0	
2016-01-22 03:29:23					66.0	
2016-01-22 04:26:23					31.0	
2016-01-22 05:23:23						35.0
2016-01-22 06:20:23						45.0
2016-01-22 07:17:23						39.0
2016-01-22 08:14:23						27.0
2016-01-22 09:11:23						35.0
2016-01-22 10:08:23						28.0
2016-01-22 11:05:23						5.0
2016-01-22 12:02:23						5.0
2016-01-22 12:59:23				112.0		
2016-01-22 13:56:23				187.0		
2016-01-22 14:53:23						1.0
2016-01-22 15:50:23						37.0
2016-01-22 16:47:23					9.0	
2016-01-22 17:44:23					90.0	
2016-01-22 18:41:23					81.0	
2016-01-22 19:38:23			23.0			
2016-01-22 20:35:23		48.0				
2016-01-22 21:32:23					138.0	
2016-01-22 22:29:23					268.0	
2016-01-22 23:26:23					219.0	
2016-01-23 00:23:23					91.0	
2016-01-23 01:20:23					49.0	
2016-01-23 02:17:23					0.0	
2016-01-23 03:14:23					55.0	
2016-01-23 04:11:23					472.0	
2016-01-23 05:08:24					717.0	
2016-01-23 06:05:25					1240.0	
2016-01-23 07:02:27					1498.0	
2016-01-23 07:59:30					654.0	
2016-01-23 08:56:30					213.0	
2016-01-23 09:53:31					99.0	
2016-01-23 10:50:34				49.0		
2016-01-23 11:47:37				176.0		
2016-01-23 12:44:41					5.0	
2016-01-23 13:41:43					5.0	
2016-01-23 14:38:43	259.0					
2016-01-23 15:35:43	219.0					
2016-01-23 16:32:44	60.0					
2016-01-23 17:29:44						11.0
2016-01-23 18:26:47						4.0
2016-01-23 19:23:47			10.0			
2016-01-23 20:20:51			7.0			
