timestamp	high	low	null
2016-02-26 00:00:00	126556.0	25571.1519231	183705.037179
2016-02-26 12:00:00	123192.75	25024.413141	180577.812019
2016-02-27 00:00:00	122669.25	25230.3982809	179667.12146
2016-02-27 12:00:00	125465.625	25623.0905886	182035.900306
2016-02-28 00:00:00	128825.5	26204.5290501	184833.767614
2016-02-28 12:00:00	132047.375	26365.3905886	183006.951267
2016-02-29 00:00:00	132277.0	26250.9328963	181138.68396
2016-02-29 12:00:00	122295.625	24104.0717852	165140.482571
2016-03-01 00:00:00	117963.875	23647.2737082	159067.674879
2016-03-01 12:00:00	120338.625	24117.9195416	162562.466545
2016-03-02 00:00:00	119335.25	23719.3767094	163544.609028
2016-03-02 12:00:00	115856.125	23358.2485043	162225.161912
2016-03-03 00:00:00	112605.125	22769.3446581	160753.883066
2016-03-03 12:00:00	106949.0	22239.5273504	160148.10422
2016-03-04 00:00:00	105794.75	22251.2398504	162187.200053
2016-03-04 12:00:00	114505.875	23628.0913462	174288.822917
2016-03-05 00:00:00	120488.75	24364.7451923	179985.284455
2016-03-05 12:00:00	124311.75	24714.6826923	178162.763622
2016-03-06 00:00:00	127747.125	25241.0769231	177890.994391
2016-03-06 12:00:00	133145.875	25359.0248397	178033.608974
2016-03-07 00:00:00	134366.75	25381.8613782	178032.782051
2016-03-07 12:00:00	136092.875	25347.5825321	175910.128205
2016-03-08 00:00:00	137047.25	25319.4887821	174960.159455
2016-03-08 12:00:00	138451.125	25714.3157051	176913.188301
2016-03-09 00:00:00	135737.25	25225.9791667	174877.457532
2016-03-09 12:00:00	128663.75	23999.0416667	171894.770032
2016-03-10 00:00:00	126617.0	23584.224359	168962.166667
