timestamp	Delve	Period Basis	Querious
2016-01-12 00:00:00	2132.375	5730.625	1582.77777778
2016-01-12 12:00:00	3110.72596154	5026.62019231	2353.61965812
2016-01-13 00:00:00	3079.65064103	4666.27457265	2396.96866097
2016-01-13 12:00:00	3269.66105769	5291.34054487	2492.4957265
2016-01-14 00:00:00	3151.375	5232.45705128	2435.53504274
2016-01-14 12:00:00	3317.2099359	5411.7142094	2508.56125356
2016-01-15 00:00:00	3254.21291209	5225.48031136	2595.88766789
2016-01-15 12:00:00	3275.12379808	5490.8994391	2702.47462607
2016-01-16 00:00:00	3443.18269231	5385.92708333	2880.60817308
2016-01-16 12:00:00	3296.51923077	5889.67708333	2998.91586538
2016-01-17 00:00:00	3268.68589744	6272.48958333	2996.41586538
2016-01-17 12:00:00	3273.72435897	6017.2588141	3204.52163462
2016-01-18 00:00:00	3208.37259615	5809.16426282	3212.46634615
2016-01-18 12:00:00	2922.38221154	5781.2411859	3334.11057692
2016-01-19 00:00:00	2726.93990385	5994.52003205	3284.97596154
2016-01-19 12:00:00	2575.42285839	6261.68859266	3243.83486305
2016-01-20 00:00:00	2384.72093531	6458.86166958	3214.62332459
2016-01-20 12:00:00	2346.80747378	6241.63090035	3138.69063228
2016-01-21 00:00:00	2145.59914044	6069.31840035	3210.28438228
2016-01-21 12:00:00	1827.82029429	6242.71263112	3100.00553613
2016-01-22 00:00:00	1739.10154429	6630.22304779	3233.47428613
2016-01-22 12:00:00	1741.63039044	6971.15574009	3259.68582459
2016-01-23 00:00:00	1825.38039044	7239.24227855	3436.34928613
2016-01-23 12:00:00	1812.3349359	7167.81330128	3610.07371795
2016-01-24 00:00:00	1742.88301282	7254.34214744	3630.16987179
2016-01-24 12:00:00	1628.57532051	7182.64983974	3681.98717949
2016-01-25 00:00:00	1680.70032051	7220.20192308	3615.22676282
2016-01-25 12:00:00	1866.48878205	7488.18269231	3454.38060897
2016-01-26 00:00:00	1993.69711538	7098.97435897	3285.94310897
2016-01-26 12:00:00	2190.95673077	7042.88782051	3102.73157051
2016-01-27 00:00:00	2232.32852564	6611.95032051	2910.61778846
2016-01-27 12:00:00	2449.83814103	6019.3661859	2732.40384615
2016-01-28 00:00:00	2708.93429487	5559.4911859	2668.95192308
2016-01-28 12:00:00	2909.07852564	5652.40464744	2567.09615385
2016-01-29 00:00:00	3089.73477564	5450.56089744	2603.63782051
2016-01-29 12:00:00	3256.21554487	5174.73397436	2615.53205128
2016-01-30 00:00:00	3382.7411859	5233.65144231	2732.95032051
2016-01-30 12:00:00	3722.93669872	5009.73878205	2998.50080128
2016-01-31 00:00:00	4021.79567308	4950.84935897	3083.87419872
2016-01-31 12:00:00	4172.90144231	5422.90705128	3308.97035256
2016-02-01 00:00:00	4218.27003205	5711.42227564	3286.43189103
2016-02-01 12:00:00	4511.04887821	5849.18189103	3221.15304487
2016-02-02 00:00:00	4573.76762821	6081.46314103	3182.68429487
2016-02-02 12:00:00	4600.19070513	6282.21314103	3336.72275641
2016-02-03 00:00:00	4526.55608974	6696.61698718	3300.98237179
2016-02-03 12:00:00	4421.44150641	6829.79407051	3282.03445513
2016-02-04 00:00:00	4292.24919872	6955.69791667	3314.51522436
2016-02-04 12:00:00	4303.58573718	6846.6786859	3115.28445513
2016-02-05 00:00:00	4215.40865385	6890.98076923	3162.61778846
2016-02-05 12:00:00	4162.36057692	6708.59615385	3380.24278846
2016-02-06 00:00:00	4084.45512821	6659.53365385	3436.12820513
2016-02-06 12:00:00	4068.75	6530.45112179	3599.42387821
2016-02-07 00:00:00	4202.31730769	6121.06650641	3717.89503205
2016-02-07 12:00:00	4348.14022436	5684.84775641	3578.70753205
2016-02-08 00:00:00	4206.98637821	5873.67467949	3552.23637821
2016-02-08 12:00:00	4122.11137821	5827.49198718	3588.08253205
2016-02-09 00:00:00	3998.65304487	5821.87740385	3636.83253205
2016-02-09 12:00:00	3779.98958333	6223.45432692	3607.38060897
