timestamp	factionKills	podKills	shipKills
2016-01-30 00:00:00	1010.4	0.9	1.25
2016-01-30 04:00:00	813.0	0.9	1.125
2016-01-30 08:00:00	888.59375	0.9	1.0
2016-01-30 12:00:00	1007.53125	0.8375	0.96875
2016-01-30 16:00:00	1162.625	0.8375	0.96875
2016-01-30 20:00:00	1220.1625	0.8125	0.96875
2016-01-31 00:00:00	1174.7875	0.5625	0.65625
2016-01-31 04:00:00	1271.475	0.15625	0.21875
2016-01-31 08:00:00	1346.25625	1.11022302463e-16	0.0
2016-01-31 12:00:00	1557.9375	1.11022302463e-16	0.0
2016-01-31 16:00:00	1530.0625	1.11022302463e-16	0.0
2016-01-31 20:00:00	1393.4125	1.11022302463e-16	0.0
2016-02-01 00:00:00	1032.81875	1.11022302463e-16	0.0
2016-02-01 04:00:00	753.69375	1.11022302463e-16	0.0
2016-02-01 08:00:00	986.85	1.11022302463e-16	0.03125
2016-02-01 12:00:00	988.975	1.11022302463e-16	0.0625
2016-02-01 16:00:00	1221.825	1.11022302463e-16	0.0625
2016-02-01 20:00:00	1091.16875	1.11022302463e-16	0.0625
